gps_code,iata_code,name,type,ident,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,id,iso_region,municipality,scheduled_service,local_code,home_link,wikipedia_link,keywords
KMRY,MRY,Monterey Peninsula Airport,medium_airport,KMRY,36.5870018005371,-121.843002319336,257,NA,US,3705,US-CA,Monterey,yes,MRY,,https://en.wikipedia.org/wiki/Monterey_Peninsula_Airport,
YMOR,MRZ,Moree Airport,medium_airport,YMOR,-29.4988994598,149.845001221,701,OC,AU,27072,AU-NSW,Moree,yes,,,https://en.wikipedia.org/wiki/Moree_Airport,
CZMD,MSA,Muskrat Dam Airport,small_airport,CZMD,53.441399,-91.762802,911,NA,CA,2027,CA-ON,Muskrat Dam,yes,,,https://en.wikipedia.org/wiki/Muskrat_Dam_Airport,ZMD
RJSM,MSJ,Misawa Airport / Misawa Air Base,medium_airport,RJSM,40.703201,141.367996,119,AS,JP,5612,JP-02,Misawa,yes,,,https://en.wikipedia.org/wiki/Misawa_Air_Base,
KMSL,MSL,Northwest Alabama Regional Airport,medium_airport,KMSL,34.745123,-87.612981,551,NA,US,3706,US-AL,Muscle Shoals,yes,MSL,,https://en.wikipedia.org/wiki/Northwest_Alabama_Regional_Airport,
KMSN,MSN,Dane County Regional Truax Field,medium_airport,KMSN,43.1399,-89.337502,887,NA,US,3707,US-WI,Madison,yes,MSN,,https://en.wikipedia.org/wiki/Dane_County_Regional_Airport,
KMSO,MSO,Missoula International Airport,medium_airport,KMSO,46.91630173,-114.0910034,3206,NA,US,3708,US-MT,Missoula,yes,MSO,,https://en.wikipedia.org/wiki/Missoula_International_Airport,
KMSP,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,large_airport,KMSP,44.880081,-93.221741,841,NA,US,3709,US-MN,Minneapolis,yes,MSP,http://www.mspairport.com/,https://en.wikipedia.org/wiki/Minneapolis–Saint_Paul_International_Airport,
UMMS,MSQ,Minsk National Airport,large_airport,UMMS,53.888071,28.039964,670,EU,BY,6501,BY-MI,Minsk,yes,,http://airport.by/en,https://en.wikipedia.org/wiki/Minsk_National_Airport,"Нацыянальны аэрапорт, Minsk 2 Airport"
LTCK,MSR,Muş Airport,medium_airport,LTCK,38.7477989196777,41.6612014770508,4157,AS,TR,4557,TR-49,Muş,yes,,,https://en.wikipedia.org/wiki/Mu%C5%9F_Airport,
KMSS,MSS,Massena International Airport Richards Field,medium_airport,KMSS,44.936157,-74.844304,215,NA,US,3710,US-NY,Massena,yes,MSS,http://www.massenaworks.com/town/airport.asp,https://en.wikipedia.org/wiki/Massena_International_Airport,
EHBK,MST,Maastricht Aachen Airport,medium_airport,EHBK,50.911701,5.77014,375,EU,NL,2515,NL-LI,Maastricht,yes,,,https://en.wikipedia.org/wiki/Maastricht_Aachen_Airport,
FXMM,MSU,Moshoeshoe I International Airport,medium_airport,FXMM,-29.4622993469238,27.5524997711182,5348,AF,LS,3022,LS-A,Maseru,yes,,,https://en.wikipedia.org/wiki/Moshoeshoe_I_International_Airport,
HHMS,MSW,Massawa International Airport,medium_airport,HHMS,15.6700000762939,39.3700981140137,194,AF,ER,3203,ER-SK,Massawa,yes,,,https://en.wikipedia.org/wiki/Massawa_International_Airport,
KMSY,MSY,Louis Armstrong New Orleans International Airport,large_airport,KMSY,29.993401,-90.258003,4,NA,US,3711,US-LA,New Orleans,yes,MSY,https://flymsy.com/,https://en.wikipedia.org/wiki/Louis_Armstrong_New_Orleans_International_Airport,
FNMO,MSZ,Welwitschia Mirabilis International Airport,medium_airport,FNMO,-15.2612,12.1468,210,AF,AO,2946,AO-NAM,Moçâmedes,yes,,,https://en.wikipedia.org/wiki/Welwitschia_Mirabilis_Airport,"Moçâmedes, Namibe, Yuri Gagarin"
HAMT,MTF,Mizan Teferi Airport,small_airport,HAMT,6.9571,35.5547,4396,AF,ET,31960,ET-SW,Mizan Teferi,yes,,,https://en.wikipedia.org/wiki/Mizan_Teferi_Airport,
KMTJ,MTJ,Montrose Regional Airport,medium_airport,KMTJ,38.5098,-107.893997,5759,NA,US,20565,US-CO,Montrose,yes,MTJ,https://montroseairport.com/,https://en.wikipedia.org/wiki/Montrose_Regional_Airport,
PAMM,MTM,Metlakatla Seaplane Base,seaplane_base,PAMM,55.131001,-131.578003,,NA,US,22496,US-AK,Metlakatla,yes,MTM,https://www.fhwa.dot.gov/tribal/tribalprgm/govts/metlakatla.htm,https://en.wikipedia.org/wiki/Metlakatla_Seaplane_Base,
KMTP,MTP,Montauk Airport,small_airport,KMTP,41.0765,-71.920797,6,NA,US,20567,US-NY,Montauk,yes,MTP,http://www.themontaukairport.com/,https://en.wikipedia.org/wiki/Montauk_Airport,
SKMR,MTR,Los Garzones Airport,medium_airport,SKMR,8.82374,-75.8258,41,SA,CO,6138,CO-COR,Montería,yes,MTR,,https://en.wikipedia.org/wiki/Los_Garzones_Airport,
MMMT,MTT,Minatitlán/Coatzacoalcos International Airport,medium_airport,MMMT,18.103399,-94.580704,36,NA,MX,4729,MX-VER,Cosoleacaque,yes,,http://www.asur.com.mx/asur/ingles/aeropuertos/minatitlan/minatitlan.asp,https://en.wikipedia.org/wiki/Minatitl%C3%A1n/Coatzacoalcos_International_Airport,
NVSA,MTV,Mota Lava Airport,small_airport,NVSA,-13.6660003662,167.712005615,63,OC,VU,31964,VU-TOB,Ablow,yes,,,https://en.wikipedia.org/wiki/Mota_Lava_Airport,
MMMY,MTY,Monterrey International Airport,large_airport,MMMY,25.778521,-100.106989,1278,NA,MX,4732,MX-NLE,Monterrey,yes,,https://aeropuertomonterrey.oma.aero/es/,https://en.wikipedia.org/wiki/General_Mariano_Escobedo_International_Airport,"General Mariano Escobedo, Apodaca"
AGGM,MUA,Munda Airport,medium_airport,AGGM,-8.32797,157.263,10,OC,SB,4,SB-WE,Munda,yes,,,https://en.wikipedia.org/wiki/Munda_Airport,
FBMN,MUB,Maun Airport,medium_airport,FBMN,-19.9726009368897,23.4311008453369,3093,AF,BW,2863,BW-NW,Maun,yes,,,https://en.wikipedia.org/wiki/Maun_Airport,
EDDM,MUC,Munich Airport,large_airport,EDDM,48.353802,11.7861,1487,EU,DE,2218,DE-BY,Munich,yes,,http://www.munich-airport.com/,https://en.wikipedia.org/wiki/Munich_Airport,"Franz Josef Strauss Airport, Flughafen München Franz Josef Strauß"
PHMU,MUE,Waimea Kohala Airport,medium_airport,PHMU,20.001301,-155.667999,2671,OC,US,5451,US-HI,Waimea (Kamuela),yes,MUE,,https://en.wikipedia.org/wiki/Waimea-Kohala_Airport,
HEMM,MUH,Marsa Matruh International Airport,medium_airport,HEMM,31.325464,27.221716,75,AF,EG,3193,EG-MT,Marsa Matruh,yes,,,https://en.wikipedia.org/wiki/Mersa_Matruh_Airport,
NCMK,MUK,Mauke Airport,small_airport,NCMK,-20.136100769043,-157.345001220703,26,OC,CK,31968,CK-U-A,Mauke Island,yes,,,https://en.wikipedia.org/wiki/Mauke_Airport,Akatoka Manava Airport
SVMT,MUN,Maturín Airport,medium_airport,SVMT,9.749023,-63.153348,224,SA,VE,6302,VE-N,Maturín,yes,,,https://en.wikipedia.org/wiki/Jos%C3%A9_Tadeo_Monagas_International_Airport,
WBGM,MUR,Marudi Airport,medium_airport,WBGM,4.178734,114.330318,103,AS,MY,26810,MY-13,Marudi,yes,,,https://en.wikipedia.org/wiki/Marudi_Airport,
SIRI,MUU,Barra Grande Airport,small_airport,SIRI,-13.906082,-38.940804,23,SA,BR,36229,BR-BA,Maraú,yes,BA0096,,https://en.wikipedia.org/wiki/Barra_Grande_Airport,
OPMT,MUX,Multan International Airport,medium_airport,OPMT,30.2031993865967,71.4190979003906,403,AS,PK,5264,PK-PB,Multan,yes,,,https://en.wikipedia.org/wiki/Multan_International_Airport,Multan Air Base
HTMU,MUZ,Musoma Airport,small_airport,HTMU,-1.503,33.8021,3806,AF,TZ,31972,TZ-13,Musoma,yes,,,https://en.wikipedia.org/wiki/Musoma_Airport,
FOON,MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,medium_airport,FOON,-1.65615999698639,13.4379997253418,1450,AF,GA,2967,GA-2,Franceville,yes,,,https://en.wikipedia.org/wiki/M'Vengue_El_Hadj_Omar_Bongo_Ondimba_International_Airport,
SUMU,MVD,Carrasco General Cesáreo L. Berisso International Airport,large_airport,SUMU,-34.835647,-56.026497,105,SA,UY,6247,UY-CA,Ciudad de la Costa,yes,,,https://en.wikipedia.org/wiki/Carrasco_International_Airport,Montevideo
SBMS,MVF,Dix-Sept Rosado Airport,medium_airport,SBMS,-5.20192,-37.3643,76,SA,BR,5944,BR-RN,Mossoró,yes,RN0002,,https://en.wikipedia.org/wiki/Mossor%C3%B3_Airport,Mossoró Airport
SKMU,MVP,Fabio Alberto Leon Bentley Airport,medium_airport,SKMU,1.25366,-70.2339,680,SA,CO,6139,CO-VAU,Mitú,yes,MVP,,https://en.wikipedia.org/wiki/Fabio_Alberto_Le%C3%B3n_Bentley_Airport,
UMOO,MVQ,Mogilev Airport,medium_airport,UMOO,53.9548988342285,30.095100402832,637,EU,BY,6502,BY-MA,Mogilev,yes,,,https://en.wikipedia.org/wiki/Mogilev_Airport,
FKKL,MVR,Salak Airport,medium_airport,FKKL,10.4513998031616,14.257399559021,1390,AF,CM,2883,CM-EN,Maroua,yes,,,https://en.wikipedia.org/wiki/Salak_Airport,
SNMU,MVS,Mucuri Airport,small_airport,SNMU,-18.048901,-39.864321,276,SA,BR,353,BR-BA,Mucuri,yes,BA0142,,https://en.wikipedia.org/wiki/Mucuri_Airport,
NTGV,MVT,Mataiva Airport,medium_airport,NTGV,-14.8681001663208,-148.716995239258,11,OC,PF,4995,PF-U-A,,yes,,,https://en.wikipedia.org/wiki/Mataiva_Airport,
KMVY,MVY,Martha's Vineyard Airport,small_airport,KMVY,41.3931007385,-70.6143035889,67,NA,US,20578,US-MA,Martha's Vineyard,yes,MVY,,https://en.wikipedia.org/wiki/Martha's_Vineyard_Airport,
KMWA,MWA,Veterans Airport of Southern Illinois,medium_airport,KMWA,37.751208,-89.016568,472,NA,US,20579,US-IL,Marion,yes,MWA,,https://en.wikipedia.org/wiki/Veterans_Airport_of_Southern_Illinois,Williamson County Regional Airport
NVSN,MWF,Maewo-Naone Airport,small_airport,NVSN,-15,168.082992554,509,OC,VU,35159,VU-PAM,Maewo Island,yes,,,https://en.wikipedia.org/wiki/Maewo-Naone_Airport,
VYMW,MWQ,Magway Airport,small_airport,VYMW,20.1656,94.941399,279,AS,MM,30101,MM-03,Magway,yes,,,https://en.wikipedia.org/wiki/Magway_Airport,
RKJB,MWX,Muan International Airport,large_airport,RKJB,34.991406,126.382814,35,AS,KR,302303,KR-46,Muan (Piseo-ri),yes,,http://muan.airport.co.kr/doc/muan_eng/,https://en.wikipedia.org/wiki/Muan_International_Airport,"Gwangju, Mokpo, Muan, MWX, RKJB"
HTMW,MWZ,Mwanza Airport,medium_airport,HTMW,-2.4444899559021,32.9327011108398,3763,AF,TZ,3257,TZ-18,Mwanza,yes,,,https://en.wikipedia.org/wiki/Mwanza_Airport,
WAFM,MXB,Andi Jemma Airport,small_airport,WAFM,-2.55803,120.323997,164,AS,ID,26803,ID-SN,Masamba,yes,,,https://en.wikipedia.org/wiki/Andi_Jemma_Airport,WAWM
AYMR,MXH,Moro Airport,small_airport,AYMR,-6.36332988739,143.238006592,2740,OC,PG,31981,PG-SHM,Moro,yes,,,https://en.wikipedia.org/wiki/Moro_Airport,
MMML,MXL,General Rodolfo Sánchez Taboada International Airport,medium_airport,MMML,32.630629,-115.242805,74,NA,MX,4727,MX-BCN,Mexicali,yes,M1L,http://aeropuertosgap.com.mx/aeropuertos/mexicali?lang=eng,https://en.wikipedia.org/wiki/General_Rodolfo_S%C3%A1nchez_Taboada_International_Airport,"Mexicali Airport, Aeropuerto Internacional Gral. Rodolfo Sánchez Taboada"
FMSR,MXM,Morombe Airport,medium_airport,FMSR,-21.753837,43.374753,16,AF,MG,2932,MG-U,Morombe,yes,,,https://en.wikipedia.org/wiki/Morombe_Airport,
LIMC,MXP,Milan Malpensa International Airport,large_airport,LIMC,45.6306,8.72811,768,EU,IT,4340,IT-25,Ferno (VA),yes,MI12,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,https://en.wikipedia.org/wiki/Malpensa_Airport,MIL
NSMA,MXS,Maota Airport,small_airport,NSMA,-13.7423000335693,-172.257995605469,,OC,WS,35173,WS-PA,Maota,yes,,,https://en.wikipedia.org/wiki/Maota_Airport,Savaii Island
FMMO,MXT,Maintirano Airport,small_airport,FMMO,-18.049999,44.033001,95,AF,MG,31982,MG-M,Maintirano,yes,,,https://en.wikipedia.org/wiki/Maintirano_Airport,
ZMMN,MXV,Mörön Airport,medium_airport,ZMMN,49.6632995605469,100.098999023438,4272,AS,MN,27211,MN-041,Mörön,yes,,,https://en.wikipedia.org/wiki/M%C3%B6r%C3%B6n_Airport,Muren
ZMMG,MXW,Mandalgobi Airport,small_airport,MN-MXW,45.7380981445,106.268997192,4550,AS,MN,31983,MN-059,Mandalgobi,yes,,,https://en.wikipedia.org/wiki/Mandalgovi_Airport,
ESKM,MXX,Mora Airport,medium_airport,ESKM,60.957901,14.5114,634,EU,SE,2659,SE-W,Mora,yes,,,https://en.wikipedia.org/wiki/Mora-Siljan_Airport,
ZGMX,MXZ,Meizhou Meixian Changgangji International Airport,small_airport,ZGMX,24.263425,116.097857,312,AS,CN,35314,CN-44,Meizhou (Meixian),yes,,,https://en.wikipedia.org/wiki/Meixian_Airport,
YMRY,MYA,Moruya Airport,medium_airport,YMRY,-35.8978004456,150.143997192,14,OC,AU,27075,AU-NSW,Moruya,yes,,,https://en.wikipedia.org/wiki/Moruya_Airport,RAAF Moruya
SVBS,MYC,Escuela Mariscal Sucre Airport,medium_airport,SVBS,10.2499780654907,-67.6494216918945,1338,SA,VE,6261,VE-D,Maracay,yes,,,https://en.wikipedia.org/wiki/Mariscal_Sucre_Airport_(Venezuela),
HKML,MYD,Malindi Airport,medium_airport,HKML,-3.22931003570557,40.1016998291016,80,AF,KE,31988,KE-300,Malindi,yes,,http://www.kenyaairports.co.ke/kaa/airports/malindi/,https://en.wikipedia.org/wiki/Malindi_Airport,
RJTQ,MYE,Miyakejima Airport,medium_airport,RJTQ,34.073600769,139.559997559,67,AS,JP,5625,JP-13,Miyakejima,yes,,,https://en.wikipedia.org/wiki/Miyakejima_Airport,
MYMM,MYG,Mayaguana Airport,medium_airport,MYMM,22.379499,-73.013494,11,NA,BS,4950,BS-MG,Abrahams Bay,yes,,,https://en.wikipedia.org/wiki/Mayaguana_Airport,
YMAE,MYI,Murray Island Airport,small_airport,YMAE,-9.915105,144.054644,300,OC,AU,31993,AU-QLD,Murray Island,yes,,,https://en.wikipedia.org/wiki/Murray_Island_Airport,"Mer Island, Maer Island"
RJOM,MYJ,Matsuyama Airport,medium_airport,RJOM,33.8272018432617,132.699996948242,25,AS,JP,5597,JP-38,Matsuyama,yes,,,https://en.wikipedia.org/wiki/Matsuyama_Airport,
KMYK,MYK,May Creek Airport,small_airport,MYK,61.335701,-142.686996,1650,NA,US,22655,US-AK,May Creek,yes,MYK,,https://en.wikipedia.org/wiki/May_Creek_Airport,
KMYL,MYL,McCall Municipal Airport,medium_airport,KMYL,44.888837,-116.101112,5024,NA,US,20591,US-ID,McCall,yes,MYL,http://www.mccall.id.us/services/airport.html,https://en.wikipedia.org/wiki/McCall_Municipal_Airport,
UTAM,MYP,Mary International Airport,medium_airport,UTAM,37.62353,61.895668,728,AS,TM,26382,TM-M,Mary,yes,,,https://en.wikipedia.org/wiki/Mary_International_Airport,
VOMY,MYQ,Mysore Airport,small_airport,VOMY,12.23,76.655833,2349,AS,IN,31996,IN-KA,Mysore,yes,,,https://en.wikipedia.org/wiki/Mysore_Airport,"Mysuru, Mandakalli airport"
KMYR,MYR,Myrtle Beach International Airport,medium_airport,KMYR,33.679699,-78.928299,25,NA,US,3717,US-SC,Myrtle Beach,yes,MYR,https://www.flymyrtlebeach.com,https://en.wikipedia.org/wiki/Myrtle_Beach_International_Airport,
VYMK,MYT,Myitkyina Airport,medium_airport,VYMK,25.3836,97.351898,475,AS,MM,26729,MM-11,Myitkyina,yes,,,https://en.wikipedia.org/wiki/Myitkyina_Airport,
PAMY,MYU,Mekoryuk Airport,medium_airport,PAMY,60.372338,-166.269751,48,NA,US,5387,US-AK,Mekoryuk,yes,MYU,,https://en.wikipedia.org/wiki/Mekoryuk_Airport,
HTMT,MYW,Mtwara Airport,medium_airport,HTMT,-10.336204,40.181997,371,AF,TZ,3256,TZ-17,Mtwara,yes,,,https://en.wikipedia.org/wiki/Mtwara_Airport,
WBGR,MYY,Miri Airport,medium_airport,WBGR,4.32201,113.987,59,AS,MY,26811,MY-13,Miri,yes,,,https://en.wikipedia.org/wiki/Miri_Airport,
RCQC,MZG,Penghu Magong Airport,medium_airport,RCQC,23.568701,119.627998,103,AS,TW,5524,TW-PEN,Huxi,yes,,http://www.mkport.gov.tw/english/,https://en.wikipedia.org/wiki/Penghu_Airport,"Magong, Makung"
LTAP,MZH,Amasya Merzifon Airport,small_airport,LTAP,40.829399,35.521999,1758,AS,TR,4520,TR-05,Amasya,yes,,http://www.merzifon.dhmi.gov.tr/havaalanlari/default.aspx?hv=15,https://en.wikipedia.org/wiki/Merzifon_Airport,
GAMB,MZI,Mopti Ambodédjo International Airport,medium_airport,GAMB,14.5128,-4.07956,906,AF,ML,3069,ML-5,Sévaré,yes,,,https://en.wikipedia.org/wiki/Mopti_Airport,Ambodedjo Airport
SKMZ,MZL,La Nubia Airport,medium_airport,SKMZ,5.0296,-75.4647,6871,SA,CO,6140,CO-CAL,Manizales,yes,MZL,,https://en.wikipedia.org/wiki/La_Nubia_Airport,
MUMZ,MZO,Sierra Maestra International Airport,medium_airport,MUMZ,20.288605,-77.087545,112,NA,CU,4847,CU-12,Manzanillo,yes,,,https://en.wikipedia.org/wiki/Sierra_Maestra_Airport,
OAMS,MZR,Mazar-i-Sharif International Airport,medium_airport,OAMS,36.706902,67.209702,1284,AS,AF,5075,AF-BAL,Mazar-i-Sharif,yes,,,https://en.wikipedia.org/wiki/Mazar-i-Sharif_International_Airport,Mazari Sharif
VIMB,MZS,Moradabad Airport,medium_airport,VIMB,28.81746,78.92187,637,AS,IN,558007,IN-UP,Moradabad,yes,,,https://en.wikipedia.org/wiki/Moradabad_Airport,
MMMZ,MZT,General Rafael Buelna International Airport,large_airport,MMMZ,23.161474,-106.264572,38,NA,MX,4733,MX-SIN,Mazatlàn,yes,,,https://en.wikipedia.org/wiki/Mazatl%C3%A1n_International_Airport,
WBMU,MZV,Mulu Airport,medium_airport,WBMU,4.04832983016968,114.805000305176,80,AS,MY,26818,MY-13,Mulu,yes,,,https://en.wikipedia.org/wiki/Mulu_Airport,
YNBR,NAA,Narrabri Airport,medium_airport,YNBR,-30.3192005157,149.82699585,788,OC,AU,27082,AU-NSW,Narrabri,yes,,http://narrabri.cfm.predelegation.com/index.cfm?page_id=1249,https://en.wikipedia.org/wiki/Narrabri_Airport,
VANP,NAG,Dr. Babasaheb Ambedkar International Airport,medium_airport,VANP,21.092199,79.047203,1033,AS,IN,26453,IN-MM,Nagpur,yes,,http://aai.aero/allAirports/nagpur1_generalinfo.jsp,https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,"Sonegaon Airport, Sonegaon Air Force Station"
WAMH,NAH,Naha Airport,medium_airport,WAMH,3.68321,125.528,16,AS,ID,26768,ID-SA,Tahuna-Sangihe Island,yes,,,https://en.wikipedia.org/wiki/Naha_Airport_(Indonesia),
UBBN,NAJ,Nakhchivan Airport,medium_airport,UBBN,39.1888008117676,45.4584007263184,2863,AS,AZ,6442,AZ-NX,Nakhchivan,yes,,,https://en.wikipedia.org/wiki/Nakhichevan_Airport,"Nakhichevan Airport, Аэропорт Нахичевань, UB15"
URMN,NAL,Nalchik Airport,medium_airport,URMN,43.5129013061523,43.6366004943848,1461,EU,RU,6515,RU-KB,Nalchik,yes,,,https://en.wikipedia.org/wiki/Nalchik_Airport,
WAPN,NAM,Namniwel Airport,medium_airport,ID-0286,-3.143159,126.976469,7,AS,ID,525059,ID-MA,Namniwel,yes,,,,
NFFN,NAN,Nadi International Airport,medium_airport,NFFN,-17.7553997039795,177.442993164063,59,OC,FJ,4959,FJ-W,Nadi,yes,,,https://en.wikipedia.org/wiki/Nadi_International_Airport,
ZUNC,NAO,Nanchong Gaoping Airport,small_airport,ZUNC,30.798104,106.16415,1145,AS,CN,32003,CN-51,Nanchong (Gaoping),yes,,,https://en.wikipedia.org/wiki/Nanchong_Airport,
LIRN,NAP,Naples International Airport,large_airport,LIRN,40.886002,14.2908,294,EU,IT,4378,IT-72,Napoli,yes,NA01,http://www.portal.gesac.it/,https://en.wikipedia.org/wiki/Naples_International_Airport,"Capodichino Airport, Aeroporto Internazionale di Napoli-Capodichino Ugo Niutta, Ariopuorto 'nternazziunale 'e Napule-Capodichino Ugo Niutta"
BGQQ,NAQ,Qaanaaq Airport,small_airport,BGQQ,77.488602,-69.388702,51,NA,GL,32004,GL-AV,Qaanaaq,yes,,,https://en.wikipedia.org/wiki/Qaanaaq_Airport,"Mittarfik Qaanaaq, Thule"
MYNN,NAS,Lynden Pindling International Airport,large_airport,MYNN,25.039,-77.466202,16,NA,BS,4951,BS-NP,Nassau,yes,,http://www.nas.bs/,https://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport,Nassau International Airport
SBSG,NAT,São Gonçalo do Amarante - Governador Aluízio Alves International Airport,medium_airport,SBSG,-5.769804,-35.366578,272,SA,BR,313262,BR-RN,Natal,yes,RN0001,http://www.natal.aero,https://en.wikipedia.org/wiki/Greater_Natal_International_Airport,"Greater Natal International Airport,  Augusto Severo International Airport"
NTGN,NAU,Napuka Island Airport,small_airport,NTGN,-14.177397,-141.266112,7,OC,PF,32005,PF-U-A,Napuka Island,yes,,,https://en.wikipedia.org/wiki/Napuka_Airport,
LTAZ,NAV,Nevşehir Kapadokya Airport,small_airport,LTAZ,38.7719,34.5345,3100,AS,TR,4527,TR-50,Nevşehir,yes,,,https://en.wikipedia.org/wiki/Nev%C5%9Fehir_Kapadokya_Airport,
VTSC,NAW,Narathiwat Airport,medium_airport,VTSC,6.51991987228394,101.74299621582,16,AS,TH,26666,TH-96,,yes,,,https://en.wikipedia.org/wiki/Narathiwat_Airport,
UWKE,NBC,Begishevo Airport,medium_airport,UWKE,55.5647010803223,52.0924987792969,643,EU,RU,26405,RU-TA,Nizhnekamsk,yes,,,https://en.wikipedia.org/wiki/Begishevo_Airport,
DTNH,NBE,Enfidha - Hammamet International Airport,medium_airport,DTNH,36.075833,10.438611,21,AF,TN,44483,TN-51,Enfidha,yes,DTNH,http://www.enfidhahammametairport.com/,https://en.wikipedia.org/wiki/Enfidha%E2%80%93Hammamet_International_Airport,DTNH
FGAN,NBN,Annobón Airport,small_airport,FGAB,-1.408615,5.624163,82,AF,GQ,313672,GQ-AN,San Antonio de Palé,yes,,,https://en.wikipedia.org/wiki/Annob%C3%B3n_Airport,"FG01, FGAB ?"
HKJK,NBO,Jomo Kenyatta International Airport,large_airport,HKJK,-1.31923997402,36.9277992249,5330,AF,KE,3206,KE-110,Nairobi,yes,,http://www.kenyaairports.com/jkia/IndexJkia.php,https://en.wikipedia.org/wiki/Jomo_Kenyatta_International_Airport,"Jkia Airport, Embakasi Airport, Nairobi International Airport"
ZYBS,NBS,Changbaishan Airport,medium_airport,NBS,42.066944,127.602222,2874,AS,CN,300544,CN-22,Baishan,yes,,,https://en.wikipedia.org/wiki/Changbaishan_Airport,
MBNC,NCA,North Caicos Airport,medium_airport,MBNC,21.916094,-71.942954,10,NA,TC,4627,TC-NC,North Caicos,yes,,,https://en.wikipedia.org/wiki/North_Caicos_Airport,
LFMN,NCE,Nice-Côte d'Azur Airport,large_airport,LFMN,43.658401,7.21587,12,EU,FR,4156,FR-PAC,"Nice, Alpes-Maritimes",yes,,https://www.nice.aeroport.fr/en,https://en.wikipedia.org/wiki/C%C3%B4te_d'Azur_International_Airport,
EGNT,NCL,Newcastle International Airport,medium_airport,EGNT,55.037958,-1.689577,266,EU,GB,2448,GB-ENG,"Newcastle upon Tyne, Tyne and Wear",yes,,http://www.newcastleairport.com/,https://en.wikipedia.org/wiki/Newcastle_International_Airport,
PFCB,NCN,Chenega Bay Airport,small_airport,PFCB,60.077602,-147.99468,72,NA,US,16509,US-AK,Chenega,yes,C05,,https://en.wikipedia.org/wiki/Chenega_Bay_Airport,
UTNN,NCU,Nukus Airport,medium_airport,UTNN,42.4884,59.623299,246,AS,UZ,32013,UZ-QR,Nukus,yes,,,https://en.m.wikipedia.org/wiki/Nukus_Airport,
LFLP,NCY,Annecy Haute-Savoie Mont Blanc Airport,medium_airport,LFLP,45.928947,6.0987,1521,EU,FR,4141,FR-ARA,Epagny Metz-Tessy,yes,,https://www.annecy-airport.com/en,https://en.wikipedia.org/wiki/Annecy_-_Haute-Savoie_-_Mont_Blanc_Airport,Annecy-Meythet
WAPC,NDA,Bandanaira Airport,small_airport,WAPC,-4.5214,129.9054,100,AS,ID,41389,ID-MA,Bandanaira,yes,,,https://en.wikipedia.org/wiki/Bandanaira_Airport,Banda-Naira
GQPP,NDB,Nouadhibou International Airport,medium_airport,GQPP,20.9330997467041,-17.0300006866455,24,AF,MR,3138,MR-08,Nouadhibou,yes,,,https://en.wikipedia.org/wiki/Nouadhibou_International_Airport,
VOND,NDC,Nanded Airport,medium_airport,VAND,19.1833,77.316704,1250,AS,IN,30180,IN-MM,Nanded,yes,VOND,,https://en.wikipedia.org/wiki/Nanded_Airport,
ZYQQ,NDG,Qiqihar Sanjiazi Airport,medium_airport,ZYQQ,47.2396011352539,123.917999267578,477,AS,CN,27241,CN-23,Qiqihar,yes,,,https://en.wikipedia.org/wiki/Qiqihar_Airport,
FTTJ,NDJ,N'Djamena International Airport,large_airport,FTTJ,12.1337,15.034,968,AF,TD,2998,TD-ND,N'Djamena,yes,,,https://en.wikipedia.org/wiki/N'Djamena_International_Airport,Ndjamena Hassan Djamous
3N0,NDK,Namorik Airport,small_airport,MH-NDK,5.633005,168.125631,15,OC,MH,32015,MH-NMK,Namorik Atoll,yes,3N0,,https://en.wikipedia.org/wiki/Namorik_Airport,Namdrik
GMMW,NDR,Nador Al Aaroui International Airport,medium_airport,GMMW,34.9888,-3.02821,574,AF,MA,3114,MA-NAD,Al Aaroui,yes,,,https://en.wikipedia.org/wiki/Nador_International_Airport,"Al Aroui International Airport, Arwi"
FYRU,NDU,Rundu Airport,medium_airport,FYRU,-17.956499099731,19.719400405884,3627,AF,NA,3035,NA-KE,Rundu,yes,,,"http://ourairports.com/airports/FYRU/#lat=-17.956499099731445,lon=19.71940040588379,zoom=13,type=Satellite,airport=FYRU",
EGES,NDY,Sanday Airport,small_airport,EGES,59.250301,-2.57667,68,EU,GB,29132,GB-SCT,Sanday,yes,,,https://en.wikipedia.org/wiki/Sanday_Airport,
SAZO,NEC,Necochea Airport,medium_airport,SAZO,-38.490746,-58.816337,72,SA,AR,5849,AR-B,Necochea,yes,NEC,,https://en.wikipedia.org/wiki/Necochea_Airport,
UELL,NER,Chulman Airport,medium_airport,UELL,56.913898468018,124.91400146484,2812,AS,RU,5751,RU-SA,Neryungri,yes,,,https://en.wikipedia.org/wiki/Chulman_Airport,"Neryungri Airport, Аэропорт Чульман, Аэропорт Нерюнгри, CNN"
TKPN,NEV,Vance W. Amory International Airport,medium_airport,TKPN,17.2056999206543,-62.589900970459,14,NA,KN,6387,KN-U-A,Charlestown,yes,,,https://en.wikipedia.org/wiki/Vance_W._Amory_International_Airport,"Nevis, Bambooshay Airport, Newcastle Airport"
